field_id,pH,Organic_Matter,N,P,K,Ca,Mg,S,Fe,Mn,Zn,Cu,B
71,6.49,4.71,28.6,35.0,160.7,940.9,163.7,16.2,57.1,34.4,6.30,4.52,1.44
72,7.31,3.94,29.3,26.0,158.0,1092.9,109.0,13.0,59.9,23.5,3.66,3.62,1.96
73,6.56,4.74,44.9,21.4,182.5,992.7,180.6,17.5,43.5,22.3,7.81,2.42,1.95
74,7.22,4.17,49.4,39.2,180.5,946.3,179.1,10.1,51.5,29.1,6.36,4.02,1.38
75,7.14,4.82,23.3,20.8,102.5,1153.7,156.1,19.2,38.9,21.3,7.12,4.73,0.95
76,6.32,2.42,48.4,22.6,149.3,838.9,188.7,11.4,48.1,33.4,6.72,4.84,1.13
77,6.98,2.46,32.4,17.5,148.9,963.2,195.2,10.3,44.8,28.9,7.75,4.57,0.65
78,6.87,3.63,49.3,24.0,139.8,875.9,112.2,18.5,48.2,33.3,6.21,3.79,0.53
79,7.07,2.73,23.8,29.1,106.9,1106.1,120.7,12.2,64.8,26.6,3.74,4.70,0.50
80,7.22,2.43,23.9,21.3,117.4,1064.4,102.6,10.1,61.6,24.8,4.62,2.52,0.58
81,6.98,3.58,42.4,26.9,177.8,1005.3,110.9,15.0,67.8,20.9,6.92,4.60,1.28
82,6.42,4.89,21.8,27.0,140.2,1074.4,149.0,19.1,32.9,21.6,6.04,2.20,0.91
83,6.77,3.65,29.8,39.9,153.1,981.5,160.5,11.0,58.1,37.1,6.25,4.31,1.58
84,5.93,3.35,26.9,23.5,145.3,966.4,109.5,14.3,56.6,27.5,3.76,4.77,0.60
85,7.16,2.28,22.9,33.5,181.2,1022.5,158.6,15.6,43.2,22.4,4.77,4.00,1.63
86,7.24,4.16,49.1,30.0,135.2,1031.2,121.3,16.6,39.0,22.2,7.23,3.10,1.64
87,6.65,4.42,45.4,39.4,181.8,1045.4,164.3,10.3,67.2,36.6,4.34,2.54,1.55
88,6.12,3.02,20.2,36.7,156.6,960.3,114.2,16.3,31.2,34.9,4.08,3.26,1.01
89,6.24,4.16,43.3,29.2,108.5,821.0,115.7,16.2,57.0,25.4,6.31,3.46,1.16
90,6.05,4.26,23.4,25.7,128.3,1071.4,148.7,16.7,31.8,27.9,6.00,2.02,0.95
91,5.92,2.41,27.7,23.2,100.8,1098.8,117.6,13.8,58.1,30.0,7.17,4.42,0.61
92,7.22,2.13,20.6,38.0,186.2,1030.3,157.3,17.1,46.7,22.3,3.10,2.97,1.70
93,6.74,4.50,47.6,17.2,184.4,897.3,158.9,15.2,45.8,26.2,4.70,3.00,0.75
94,6.52,2.34,35.3,37.6,134.9,1091.0,181.9,18.2,39.5,22.9,3.99,3.81,1.64
95,6.81,2.53,43.2,27.4,175.4,1104.0,144.9,19.2,52.6,32.7,6.12,4.59,1.44
96,5.80,2.20,33.3,22.6,127.5,822.5,150.7,13.1,48.1,21.1,7.16,2.23,1.80
97,7.21,3.85,35.2,26.6,155.4,1116.7,189.6,14.5,62.4,33.0,4.61,3.43,0.73
98,5.62,2.31,47.0,23.6,171.4,1001.8,117.3,12.5,47.5,28.8,5.61,2.48,1.06
99,6.07,3.23,30.2,29.9,178.9,1058.9,106.6,10.9,57.1,25.7,6.62,3.97,1.86
100,7.25,3.00,37.5,18.5,135.0,1187.1,169.8,13.9,53.8,38.8,4.55,3.13,1.69
